0         |Default                                                                                             
12081     |12081 - Ohrt's Single Level                                                                         
12082     |12082 - Ohrt's Multi Level                                                                          
12083     |12083 - Ohrt's Condo/Townhome/Patio Home                                                            
12084     |12084 - Ohrt's Manufactured                                                                         
12090     |12090 - Columbia Rancho/Elliot Lake                                                                 
12091     |12091 - Columbia Rancho/Elliot Lake Single Level                                                    
12092     |12092 - Columbia Rancho/Elliot Lake Multi Level                                                     
12093     |12092 - Columbia Rancho/Elliot Lake Condo/Townhome/Patio Home                                       
12094     |12094 - Columbia Rancho/Elliot Lake Manufactured                                                    
12100     |12100 - South of 45th                                                                               
12101     |12101 - South of 45th Single Level                                                                  
12102     |12102 - South of 45th Multi Level                                                                   
12103     |12103 - South of 45th Condo/Townhome/Patio Home                                                     
12104     |12104 - South of 45th Manufactured                                                                  
12110     |12110 - Nine Canyon                                                                                 
12111     |12111 - Nine Canyon Single Level                                                                    
12112     |12112 - Nine Canyon Multi Level                                                                     
12113     |12113 - Nine Canyon Condo/Townhome/Patio Home                                                       
12114     |12114 - Nine Canyon Manufactured                                                                    
12120     |12120 - Finley Road                                                                                 
12121     |12121 - Finley Road Single Level                                                                    
12122     |12122 - Finley Road Multi Level                                                                     
12123     |12123 - Finley Road Condo/Townhome/Patio Home                                                       
12124     |12124 - Finley Road Manufactured                                                                    
12130     |12130 - Finley                                                                                      
12131     |12131 - Finley Single Level                                                                         
12132     |12132 - Finley Multi Level                                                                          
12133     |12133 - Finley Condo/Townhome/Patio Home                                                            
12134     |12134 - Finley Manufactured                                                                         
12999     |12999 - Reval 2 MH on Leased Land                                                                   
13000     |13000 - Reval 3 Land                                                                                
13010     |13010 - West Vineyard/West Village                                                                  
13011     |13011 - West Vineyard/West Village Single Level                                                     
13012     |13012 - West Vineyard/West Village Multi Level                                                      
13013     |13013 - West Vineyard/West Village Condo/Townhome/Patio Home                                        
13014     |13014 - West Vineyard/West Village Manufactured                                                     
13020     |13020 - Crested Hills/Meadow Hills                                                                  
13021     |13021 - Crested Hills/Meadow Hills Single Level                                                     
13022     |13022 - Crested Hills/Meadow Hills Multi Level                                                      
13023     |13023 - Crested Hills/Meadow Hills Condo/Townhome/Patio Home                                        
13024     |13024 - Crested Hills/Meadow Hills Manufactured                                                     
13030     |13030 - Skyline Meadows                                                                             
13031     |13031 - Skyline Meadows Single Level                                                                
13032     |13032 - Skyline Meadows Multi Level                                                                 
13033     |13033 - Skyline Meadows Condo/Townhome/Patio Home                                                   
13034     |13034 - Skyline Meadows Manufactured                                                                
13040     |13040 - Meadow Springs                                                                              
13041     |13041 - Meadow Springs Single Level                                                                 
13042     |13042 - Meadow Springs Multi Level                                                                  
13043     |13043 - Meadow Springs Condo/Townhome/Patio Home                                                    
13044     |13044 - Meadow Springs Manufactured                                                                 
13050     |13050 - Meadows East                                                                                
13051     |13051 - Meadows East Single Level                                                                   
13052     |13052 - Meadows East Multi Level                                                                    
13053     |13053 - Meadows East Condo/Townhome/Patio Home                                                      
13054     |13054 - Meadows East Manufactured                                                                   
13060     |13060 - Willowbrook                                                                                 
13061     |13061 - Willowbrook Single Level                                                                    
13062     |13062 - Willowbrook Multi Level                                                                     
13063     |13063 - Willowbrook Condo/Townhome/Patio Home                                                       
13064     |13064 - Willowbrook Manufactured                                                                    
13070     |13070 - The Heights                                                                                 
13071     |13071 - The Heights Single Level                                                                    
13072     |13072 - The Heights Multi Level                                                                     
13073     |13073 - The Heights Condo/Townhome/Patio Home                                                       
13074     |13074 - The Heights Manufactured                                                                    
13080     |13080 - The Ridge at Reata West                                                                     
13081     |13081 - The Ridge at Reata West Single Level                                                        
13082     |13082 - The Ridge at Reata West Multi Level                                                         
13083     |13083 - The Ridge at Reata West Condo/Townhome/Patio Home                                           
13084     |13084 - The Ridge at Reata West Manufactured                                                        
13090     |13090 - Reata Ridge                                                                                 
13091     |13091 - Reata Ridge Single Level                                                                    
13092     |13092 - Reata Ridge Multi Level                                                                     
13093     |13093 - Reata Ridge Condo/Townhome/Patio Home                                                       
13094     |13094 - Reata Ridge Manufactured                                                                    
13100     |13100 - Reata                                                                                       
13101     |13101 - Reata Single Level                                                                          
13102     |13102 - Reata Multi Level                                                                           
13103     |13103 - Reata Condo/Townhome/Patio Home                                                             
13104     |13104 - Reata Manufactured                                                                          
13110     |13110 - Clearwater Creek                                                                            
13111     |13111 - Clearwater Creek Single Level                                                               
13112     |13112 - Clearwater Creek Multi Level                                                                
13113     |13113 - Clearwater Creek Condo/Townhome/Patio Home                                                  
13114     |13114 - Clearwater Creek Manufactured                                                               
13120     |13120 - Summitview                                                                                  
13121     |13121 - Summitview Single Level                                                                     
13122     |13122 - Summitview Multi Level                                                                      
13123     |13123 - Summitview Condo/Townhome/Patio Home                                                        
13124     |13124 - Summitview Manufactured                                                                     
13130     |13130 - Cottonwood Springs                                                                          
13131     |13131 - Cottonwood Springs Single Level                                                             
13132     |13132 - Cottonwood Springs Multi Level                                                              
13133     |13133 - Cottonwood Springs Condo/Townhome/Patio Home                                                
13134     |13134 - Cottonwood Springs Manufactured                                                             
13140     |13140 - Bridgewater Park/Canyon Ranch                                                               
13141     |13141 - Bridgewater Park/Canyon Ranch Single Level                                                  
13142     |13142 - Bridgewater Park/Canyon Ranch Multi Level                                                   
13143     |13143 - Bridgewater Park/Canyon Ranch Condo/Townhome/Patio Home                                     
13144     |13144 - Bridgewater Park/Canyon Ranch Manufactured                                                  
13150     |13150 - North of Canal                                                                              
13151     |13151 - North of Canal Single Level                                                                 
13152     |13152 - North of Canal Multi Level                                                                  
13153     |13153 - North of Canal Condo/Townhome/Patio Home                                                    
13154     |13154 - North of Canal Manufactured                                                                 
13160     |13160 - South of Canal                                                                              
13161     |13161 - South of Canal Single Level                                                                 
13162     |13162 - South of Canal Multi Level                                                                  
13163     |13163 - South of Canal Condo/Townhome/Patio Home                                                    
13164     |13164 - South of Canal Manufactured                                                                 
13170     |13170 - Southridge                                                                                  
13171     |13171 - Southridge Single Level                                                                     
13172     |13172 - Southridge Multi Level                                                                      
13173     |13173 - Southridge Condo/Townhome/Patio Home                                                        
13174     |13174 - Southridge Manufactured                                                                     
13180     |13180 - Canyon Lakes                                                                                
13181     |13181 - Canyon Lakes Single Level                                                                   
13182     |13182 - Canyon Lakes Multi Level                                                                    
13183     |13183 - Canyon Lakes Condo/Townhome/Patio Home                                                      
13184     |13184 - Canyon Lakes Manufactured                                                                   
13190     |13190 - Inspiration Estates                                                                         
13191     |13191 - Inspiration Estates Single Level                                                            
13192     |13192 - Inspiration Estates Multi Level                                                             
13193     |13193 - Inspiration Estates Condo/Townhome/Patio Home                                               
13194     |13194 - Inspiration Estates Manufactured                                                            
132453    |extreme rural finley                                                                                
133572    |Patterson                                                                                           
133572 400|133572 - Patterson - Manufactured Older 1985                                                        
133572 401|133572 - Patterson - Manufactured Newer 1986                                                        
133572 SB |133572 - Patterson - Stick Built                                                                    
133582    |Plymouth                                                                                            
133582 400|133582 - Plymouth - Manufactured Older 1985                                                         
133582 401|133582 - Plymouth Manufactured Newer 1986                                                           
133582 SB |133582 - Plymouth - Stick Built                                                                     
133814    |133814 Southridge                                                                                   
133852    |finley                                                                                              
134774 140|134774 Meadow Springs - Rambler with Basement                                                       
134819    |134819 Canyon Lakes                                                                                 
134819 100|134819 Canyon Lakes - One Story                                                                     
134819 140|134819 Canyon Lakes - Rambler with Basement                                                         
134819 200|134819 Canyon Lakes - Two Story                                                                     
134961    |134961 South of Canal                                                                               
134961 001|134961 South of Canal - Bare Land                                                                   
134961 100|134961 South of Canal - One Story                                                                   
134961 140|134961 South of Canal - Rambler with Basement                                                       
134961 160|134961 South of Canal - Rambler with Basement with Bonus                                            
