branch_name,lineage_class,mergeability_class,root_commit_family,shares_ancestor_with_main_flag,merge_base_with_main,unrelated_history_flag,ahead_of_main,behind_main
claude/wo-brain-0014-path-router,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,11,147
claude/wo-brain-0021-agent-worktree-isolation,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,163
claude/wo-data-000-db-data-truth-gate,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,0,86
claude/wo-data-001-migration-status-baseline,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,162
claude/wo-data-001r-migration-reconciliation,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,3,161
claude/wo-data-001r-plan-sequence-fix,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,160
claude/wo-data-002a-bootstrap-plan,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,159
claude/wo-data-002a-exec-p1,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,158
claude/wo-data-002a-exec-p2-clean-dev-db-bootstrap,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,3,157
claude/wo-data-002b-domain-coverage-proof,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,156
claude/wo-data-003-seed-fixture-provenance,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,155
claude/wo-data-004a-pacs-sync-preflight,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,154
claude/wo-data-004b-fix1-attach-plan,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,150
claude/wo-data-004b-p1-prereq-alignment,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,153
claude/wo-data-004b-pacs-source-truth,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,151
claude/wo-localops-000-planning-envelope,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,11,147
claude/wo-localops-001-ai-profile-config,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,13,147
claude/wo-localops-002-local-provider,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,14,147
claude/wo-localops-003-trace-adapter,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,14,147
claude/wo-localops-004-local-kb-rag,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,16,147
claude/wo-localops-005-readonly-diagnostics,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,19,147
claude/wo-localops-006-1-mount-register,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,19,147
claude/wo-localops-006-terrapilot-ui,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,18,147
claude/wo-localops-007-benton-runbooks,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,20,147
claude/wo-localops-008-runtime-proof,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,22,147
claude/wo-ops-002-external-pacs-workspace,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,2,148
claude/wo-sec-localops-001-phone-redaction,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,21,147
claude/wsaca-vendor-strategy-fwdgfh,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,11,147
codex/865-projector-atomicity-recut-v2,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,ba552da7c,false,0,10
codex/927-workbench-parcel-load-recut,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,130906659,false,1,8
codex/benton-owner-runtime-proof,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,ede1e47c0,false,0,19
codex/coefficient-preview-runtime,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,2a4bd0702,false,4,191
codex/county-studio-canonical-parcel-readiness,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,29,150
codex/county-studio-data-lineage-reconciliation,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,16,150
codex/county-studio-exemption-fact-dependency,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,30,150
codex/county-studio-forge-dev-dependency-reclassification,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,17,150
codex/county-studio-forge-real-data-wiring-verification,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,18,150
codex/county-studio-full-forge-dev-smoke,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,29,150
codex/county-studio-port-conflict-resolution,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,26,150
codex/county-studio-r1-forge-dev-handoff,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,31,150
codex/county-studio-r1-forge-dev-smoke,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,23,150
codex/county-studio-r1-forge-dev-status,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,22,150
codex/county-studio-r1-handoff-stabilization,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,d7f250f50,false,1,163
codex/county-studio-r1-outbound-payloads,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,679d685f8,false,2,158
codex/county-studio-r1-saved-context,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,bd7721e49,false,1,160
codex/county-studio-r1-saved-view-payloads,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,390fbb449,false,1,159
codex/county-studio-r1-stabilization,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,7f1b8c28b,false,1,164
codex/county-studio-real-dev-activation,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,16,150
codex/county-studio-real-dev-port-preflight,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,25,150
codex/county-studio-real-dev-readiness,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,13,150
codex/county-studio-runtime-evidence-drift,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,24,150
codex/county-studio-terraatlas-geometry-evidence-correction,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,19,150
codex/county-studio-terraatlas-geometry-wiring,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,21,150
codex/county-studio-terraatlas-gis-truth-correction,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,32,150
codex/cuforge-case-state-persistence,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,241dace1d,false,1,171
codex/cuforge-casework-desk,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,dde327890,false,6,175
codex/currentuse-sqlite-provider-fix,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,042e67d61,false,0,185
codex/dais-queue-root-cause,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,28468466d,false,0,176
codex/evidence-publisher-manifest-policy,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2747,7
codex/fix-autonomy-custody-signing-identity,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2704,194
codex/fix-autonomy-evidence-publisher-pins,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2701,194
codex/fix-custody-ref-metadata-mutability,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2707,194
codex/fix-custody-strict-verifier-signing-metadata,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2710,194
codex/fix-evidence-publisher-bundle-cert-schema,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2714,194
codex/fix-evidence-publisher-cert-fallback,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2712,194
codex/fix-evidence-publisher-custody-policy-autoload,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2719,194
codex/fix-evidence-publisher-manifest-compat-output,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2722,194
codex/fix-evidence-release-tag-url,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2731,194
codex/fix-main-ci-followup-gates,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2723,194
codex/fix-main-ci-workflow-gates,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2722,194
codex/fix-post-merge-gates,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2729,194
codex/income-forge-runtime,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2762,194
codex/incomeforge-readiness-desk,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,18ee975a1,false,8,6
codex/j10-dev39-dns,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,6b8664158,false,1,162
codex/june10-emergency-release-runbook,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,27a8712a1,false,1,180
codex/june10-operational-calm-polish,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,f9c195f2e,false,9,189
codex/june10-post-merge-audit,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2582,194
codex/june10-production-readiness-audit-gate,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2791,194
codex/ops-control-panel-seed,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,5cd0b0c7f,false,3,13
codex/ops-cp-002-report-intake,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,498a5de0f,false,2,4
codex/ops-cp-003-review-index,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,5d692d9dd,false,2,3
codex/property-workbench-comps-review-desk,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,f27b10354,false,9,154
codex/property-workbench-production-closure,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,3,147
codex/property-workbench-production-smoke,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,12341d8c1,false,6,151
codex/r1-post-merge-followup-v4,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1838,194
codex/r1-product-blockers-v2,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1832,194
codex/r1-product-blockers-v3,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1836,194
codex/r1-release-close-v2,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1827,194
codex/r1-week3-controllers,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1610,194
codex/r1-week4-cx15-validation-suite,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1622,194
codex/r1-week4-perf-baseline,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1620,194
codex/regression-studio-runtime,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,f2511bbce,false,3,193
codex/release-auth-smoke-timeout,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,27a8712a1,false,3,180
codex/release-lane-auth-smoke-retry,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,ca382ad0f,false,0,172
codex/runtime-db-binding-prod-config,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,f9542230d,false,1,169
codex/sync-db-evidence-runtime-path,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,16f7d6353,false,17,150
codex/terra-gama-runtime,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,0f7907344,false,1,192
codex/wo-0118-brain-pulse-clean,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,c3dd77ed8,false,0,1
codex/workbench-canonical-host-runtime-contracts,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,3845,194
codex/workbench-live-deferred-scope-truth,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,3850,194
copilot/c1-snapshot-churn-hygiene,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1703,194
copilot/c2-write-lane-governance,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1706,194
copilot/chore-fix-claude-launch-json,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1507,194
